time_scale,target_var,model_input_file,feature_list_file,rows,cols,station_count,target_var_exists,old_prefix_column_count,new_prefix_column_count,feature_list_old_prefix_count_before,feature_list_old_prefix_count_after,feature_list_replaced_cells,model_input_size_mb,feature_list_size_kb,model_input_md5,feature_list_md5
1hour,NOx,data/model_inputs/modeling_dataset_1hour.parquet,data/model_feature_lists/columns_apply_1hour.xlsx,194160,693,19,True,0,15,14,0,14,254.3051,7.3047,fc7e778de8834160e8b916a33b5a8980,76736d9b9f7602c41c1f4bdb59c12940
24hour,NOx_24hour,data/model_inputs/modeling_dataset_24hour.parquet,data/model_feature_lists/columns_apply_24hour.xlsx,194252,686,19,True,0,15,14,0,14,501.3093,7.3281,acb1f2a8aa89012357eda7ba93a9a1cd,93e53f8dc458bb9190672ac6041e6dd8
168hour,NOx_168hour,data/model_inputs/modeling_dataset_168hour.parquet,data/model_feature_lists/columns_apply_168hour.xlsx,194256,686,19,True,0,15,14,0,14,540.0194,7.3379,ca8357eb2bf66bd9969ca9394371293d,aaa98025cffa6e276b9a813251745910
31day,NOx_31day,data/model_inputs/modeling_dataset_31day.parquet,data/model_feature_lists/columns_apply_31day.xlsx,194256,686,19,True,0,15,14,0,14,573.1979,7.3252,822c57370af1a82264a3df8a1390b542,f223038b185e8a79d71aefa6a9d6a111
