Data_Type,CV_Type,Time_Scale,Time_Label,Time_Order,Category,Category_Order,Category_Color,Feature_Count,Mean_Abs_SHAP_Sum,Mean_Abs_SHAP_Mean,Contribution_Percent,Class_File_Used,SHAP_File_Found,Excluded_Unclassified_Features,Notes
category_contribution,Station,31day,31-Day,3,Emission Source Parameters,2,#E64B35,20,7.34754656,0.36737733,17.239736,classification_31day.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,31day,31-Day,3,Road Topology Parameters,3,#8491B4,14,0.98286586,0.0702047,3.294462,classification_31day.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,31day,31-Day,3,POI Parameters,4,#3C5488,3,0.20943972,0.06981324,3.276092,classification_31day.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,31day,31-Day,3,Urban Canopy Parameters,5,#00A087,44,3.50596716,0.07968107,3.739155,classification_31day.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Station,31day,31-Day,3,Landuse Parameters,6,#7E6148,44,3.11464013,0.07078728,3.3218,classification_31day.xlsx,True,,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Meteorological Parameters,0,#4DBBD5,22,24.57952399,1.11725109,31.690856,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Temporal Parameters,1,#F39B7F,9,12.85871494,1.4287461,40.526421,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Emission Source Parameters,2,#E64B35,20,6.19813663,0.30990683,8.790515,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Road Topology Parameters,3,#8491B4,14,1.40560236,0.10040017,2.847853,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,POI Parameters,4,#3C5488,3,1.07182084,0.35727361,10.134075,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Urban Canopy Parameters,5,#00A087,44,4.63265962,0.10528772,2.986489,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,1hour,1-Hour,0,Landuse Parameters,6,#7E6148,44,4.69052093,0.10660275,3.02379,classification.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,Meteorological Parameters,0,#4DBBD5,22,26.33960223,1.19725465,40.932244,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
category_contribution,Time,24hour,24-Hour,1,Temporal Parameters,1,#F39B7F,9,7.10719399,0.78968822,26.998192,classification_24hour.xlsx,True,Station_ID,Category contribution is calculated from category-level mean absolute SHAP values. Unclassified features are excluded from the denominator.
