Station_Name_Public,Emission,Landuse,POI,Temp,Topo,UCP
人民广场,0.20225361320997248,-0.6130692742279803,0.20717762745286417,0.03350176255414894,0.1876756735550602,-0.7753198235620745
卢湾师专附小,-0.045970784346515914,-0.18765448082703573,-0.0816856488533435,-0.008878378318820213,-0.14692387096005,0.03800328327669955
嘉定南翔,0.03971417692968804,-0.00564667956187026,-0.06629518018844693,-0.038472572570862784,-0.023791749297233822,-0.021116374577481722
嘉定天华学院,0.03377043084222475,-0.11309853167418615,-0.2680578385919604,-0.0434864139306852,0.0584221707539071,-0.10471568774313544
嘉定方泰,0.05778614635502033,-0.034802230433849196,0.11717491363151186,-0.003718108764978856,-0.019768926812502793,-0.11190852390831421
嘉定监测站,0.012260007419850227,-0.10193615766961206,-0.06203857297388482,-0.023011854055380976,-0.036792738206431475,-0.005003842670141978
奉贤南桥,-0.12263639392199821,-0.18119125069588593,-0.022323914861606786,-0.044520167742914785,-0.03965807497868745,-0.11573784494895123
奉贤南桥新城,-0.29585276643329084,-0.1411097258574463,-0.009628964979106813,-0.049205755425453246,-0.2891080353261173,-0.528816728478649
奉贤海湾,0.11360558263315479,-0.6363377334618481,0.10994536127076493,-0.03835178872005823,0.015138254417781771,0.10316570056947327
宝山庙行,0.007362474061833546,-0.05059807782255499,0.0006246364920642344,-0.0024548335048529824,0.000953886259714043,0.02062368720739849
宝山杨行,-0.13248811205464972,0.006362882431170225,0.022529716708521774,0.005569173814911288,-0.05683368772635977,-0.015045180109946266
宝山罗店,-0.042462973998201425,-0.1915829614198532,-0.08753947404384677,-0.010944610654217701,0.028177353306337194,-0.009733157584670193
崇明现代农业园区,-0.1610183759771005,-0.36204299759896075,0.032944556679722514,-0.04558066054557425,-0.08589274166469174,-0.9920121844099032
徐家汇,0.042625763413082995,-0.07113363140427698,0.024526398112808323,-0.00810536504139403,0.02009616546952131,-0.41437410980830797
徐汇上师大,0.022027376250205455,-0.06637577083792001,0.005553234963455278,-0.00734791028979731,0.009025969241112208,-0.002948189731090789
徐汇华泾,0.24627192094186343,0.13208692546651465,0.04248529614068869,-0.015089196309066993,0.09654701241041916,0.00994901217837671
普陀桃浦,0.04900234291460115,-0.0888154446393461,0.006672866693141932,-0.01747627877682756,-0.016982115831787326,0.028672358457658254
普陀监测站,0.057653619376205945,-0.03922286642369355,0.02429315017354894,-0.005958460290335199,0.053953376067509495,-0.035149089760816765
杨浦四漂,0.025594805956816735,-0.2182963955281575,-0.015329550937539516,0.0032430133921510507,-0.008077013086529194,-0.12591468289892072
杨浦新江湾城,-0.001970010993894711,0.003931757971102012,0.032903278073819986,-0.0048717149672412585,0.0261981997808185,-0.07477330655419379
杨浦监测站,0.13836477766588295,-0.008575643278906031,-0.028645514259587834,-0.02163354962580155,0.052425451584911964,0.12437739501480416
松江图书馆,0.018998888523043322,-0.16862556129087447,-0.0021466978973881945,-0.011615220126307446,-0.0014938409083616877,-0.22070040405213243
松江岳阳,-0.02908316107538189,-0.0356034454990215,0.003857666733724008,-0.0043552407297492435,-0.040624882791846506,-0.013892921410431192
浦东东方路路边站,-0.06633661763614995,-0.008103125923135335,-0.04371992419109327,-0.005439606403096819,-0.06189303828020698,-0.06550470140474973
浦东周浦,-0.04339841590212645,-0.11905227770555693,-0.039566838895190415,-0.020718775164622727,-0.14928164621977325,-0.6745126291006599
浦东川沙,-0.16375676677344775,-0.10638144751381806,-0.021738677989438737,-0.01377132369995604,-0.020419830487379942,-0.05635206120696046
浦东张江,0.011377094414895206,-0.06880641440345303,0.019576104111307724,-0.024800116863865962,0.003544404953899294,-0.08440614715939321
浦东惠南,-0.07896764330034367,-0.23373152219842153,-0.07448659389850065,-0.009788422096572713,-0.5661364488153657,-0.44964943281238123
浦东监测站,-0.2591113743216053,-0.06997892448334675,-0.002710182998757249,-0.010102258003486075,-0.08549504513600481,-0.07029333350704436
虹口凉城,0.08293819168291872,-0.04388051499515755,-0.036106696645254566,-0.025308299645260823,0.11624345252904744,0.021056568136619158
虹口嘉兴,0.3397602106835179,0.36211654257716097,0.24589533294489196,-0.04285545284239228,0.4113834396191375,0.3220797186756932
金山廊下,0.08814256481896532,0.08306358623794974,0.14447281207360874,-0.05363971024021297,0.06411384641145612,0.0957854935722906
金山朱泾,-0.0019195042564009723,-0.0629563240175145,-0.012999800326393252,-0.032146509369746945,-0.061666877048035196,-0.04053157244580374
金山枫泾,-0.19224065148489755,-0.4133227636791375,-0.20695007269140875,-0.04467521767198346,-0.3280142169392888,-0.47605855278863324
长宁仙霞,0.0003550089324172445,-0.00041648169218377884,0.010613395961252992,-0.0008611986218403089,-0.0372708870264673,0.0037757153540030064
长宁华阳,0.01996753504993576,-0.017654099009463464,0.000978999309258044,0.0015413146619099871,0.012250463072613349,0.034686643387390026
长宁程桥,0.05598034778811056,-0.21281687494599577,0.01766899034123648,-0.017641677538515754,0.02294140449880533,-0.07251076018340075
闵行江川,-0.04233723970122649,-0.015180891495886195,0.04326845884675756,-0.0035439999213805473,0.01844488123802246,0.005549255059054237
闵行浦江,0.015213752418987592,0.011398471856683079,-0.2566273084866687,-0.025471155339846674,-0.013872903754567734,-0.02649248730892695
闵行莘庄,-0.12539360130444333,-0.01844635372387049,0.024450866873164445,-0.00034610038374327523,-0.07599379238266357,0.008375807434740978
青浦夏阳,-0.011177332231590675,-0.06113993567882514,0.0380002628174263,-0.006728922359966916,-0.014539469587207643,0.02488041646031336
青浦徐泾,0.051254712699602134,0.01810116997456357,-0.004815166253134162,-0.01612312206328248,-0.007849029967277654,0.04368748784011123
青浦朱家角,0.0002743475902637904,-0.03730030086587155,-0.04693644967817656,-0.03042706649353555,-0.011483204316277251,-0.01565777901401577
静安七一中学,0.007728557496695543,-0.05819025359462193,0.11583950418502409,0.022559043455314565,0.19257907058077173,0.18590825930116106
静安共和新路路边站,1.0930096770660693,-0.16659967837572875,-0.25436527857589875,-0.02727471213908972,0.6308992431940205,0.05311922903266397
静安和田中学,0.06040559404950574,0.06521774579470796,0.1224801646163145,0.009325189889567431,0.01419466670892855,0.13165691598939078
静安市北高新,0.24662130408753247,-0.06890715466149644,-0.11614831436040901,-0.02330581267091525,0.190672778604975,-0.6407067897374834
静安延安西路路边站,0.050524355072136706,0.050075512938273725,-0.06841699362969422,-0.015842390037124288,-1.8881871535551222,0.002998802498222486
静安监测站,0.08424195315065419,0.07069016284232144,0.06184483765475424,0.003209665944627238,0.0707064579475225,0.07238334842632577
黄浦瑞金,0.06067229161830401,-0.13035101356313783,0.04711645062204628,-0.022698029747821535,0.11102115195950502,-0.017241738854629762
