group,relative_path,required,exists,size_mb
supplementary_figure_script,code/scripts/reproduce_supplementary_fig2_from_source_data.py,True,True,0.016477
supplementary_figure_output,figures/supplementary/Supplementary_Fig2_reproduced_from_source_data.png,True,True,6.430751
supplementary_figure_output,figures/supplementary/Supplementary_Fig2_reproduced_from_source_data.pdf,True,True,2.201068
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig3_source_data.csv,True,True,39.206159
supplementary_figure_script,code/scripts/reproduce_supplementary_fig3_from_source_data.py,True,True,0.009767
supplementary_figure_output,figures/supplementary/Supplementary_Fig3_reproduced_from_source_data.png,True,True,3.510395
supplementary_figure_output,figures/supplementary/Supplementary_Fig3_reproduced_from_source_data.pdf,True,True,2.974457
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig4_source_data.csv,True,True,0.049872
supplementary_figure_script,code/scripts/reproduce_supplementary_fig4_from_source_data.py,True,True,0.006552
supplementary_figure_output,figures/supplementary/Supplementary_Fig4_reproduced_from_source_data.png,True,True,1.063215
supplementary_figure_output,figures/supplementary/Supplementary_Fig4_reproduced_from_source_data.pdf,True,True,0.050202
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig5_source_data.csv,True,True,0.288514
supplementary_figure_script,code/scripts/reproduce_supplementary_fig5_from_source_data.py,True,True,0.005632
supplementary_figure_output,figures/supplementary/Supplementary_Fig5_reproduced_from_source_data.png,True,True,2.841208
supplementary_figure_output,figures/supplementary/Supplementary_Fig5_reproduced_from_source_data.pdf,True,True,0.285394
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig6_source_data.csv,True,True,16.900235
supplementary_figure_script,code/scripts/reproduce_supplementary_fig6_from_source_data.py,True,True,0.012059
supplementary_figure_output,figures/supplementary/Supplementary_Fig6_reproduced_from_source_data.png,True,True,3.161562
supplementary_figure_output,figures/supplementary/Supplementary_Fig6_reproduced_from_source_data.pdf,True,True,2.741704
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig7_source_data.csv,True,True,27.707808
supplementary_figure_script,code/scripts/reproduce_supplementary_fig7_from_source_data.py,True,True,0.010874
supplementary_figure_output,figures/supplementary/Supplementary_Fig7_reproduced_from_source_data.png,True,True,2.286339
supplementary_figure_output,figures/supplementary/Supplementary_Fig7_reproduced_from_source_data.pdf,True,True,2.781118
supplementary_figure_source_data,data/source_data/supplementary/Supplementary_Fig8_source_data.csv,True,True,0.015513
supplementary_figure_script,code/scripts/reproduce_supplementary_fig8_from_source_data.py,True,True,0.006103
supplementary_figure_output,figures/supplementary/Supplementary_Fig8_reproduced_from_source_data.png,True,True,0.510769
supplementary_figure_output,figures/supplementary/Supplementary_Fig8_reproduced_from_source_data.pdf,True,True,0.071471
public_data,data/public/national_control_station_metadata.csv,True,True,0.004687
public_data,data/public/processed_national_control_NOx_hourly.csv,True,True,29.437958
public_data,data/public/NOx_QC_overall_summary.csv,True,True,0.000764
public_data,data/public/NOx_QC_summary_by_station.csv,True,True,0.020155
split_files,data/splits/spatial_5fold_station_assignment.csv,True,True,0.011042
split_files,data/splits/temporal_5fold_window_assignment.csv,True,True,21.509961
split_files,data/splits/temporal_buffer_intervals.csv,True,True,0.007287
split_files,data/splits/temporal_split_metadata.csv,True,True,0.006529
split_files,data/splits/anomalous_station_exclusion_list.csv,True,True,0.003314
split_files,data/splits/final_cluster_station_labels.csv,True,True,0.020562
supplementary_data,data/supplementary_data/Supplementary_Data_1.xlsx,True,True,0.086333
supplementary_data,data/supplementary_data/Supplementary_Data_2.xlsx,True,True,0.010984
documentation,README.md,True,True,0.006163
documentation,REPRODUCIBILITY_GUIDE.md,True,True,0.001821
documentation,release_manifest_public.xlsx,True,True,0.014274
