Panel,Panel_Description,Model,Model_Display,CV_Strategy,CV_Display,Time_Scale_Raw,Time_Scale_Display,Column_Key,Column_Order,Feature_Raw,Feature_Domain,Feature_Order,Baseline_Feature_Raw,Is_Baseline,Absolute_R2,Baseline_R2,Delta_R2,Delta_R2_Percent,P_Value_One_Tailed,Significance_Stars,N_Station_Pairs,Mean_Station_Delta_R2,Annotation_Text,Significance_Test,Notes
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,7day,7d,RF|Temporal_CV|7day,15,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.524647610855134,0.524647610855134,0.0,0.0,,,,,"0.525
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,31day,31d,RF|Temporal_CV|31day,16,Baseline+Meteorology,Baseline,1,Baseline+Meteorology,Yes,0.497335211200427,0.497335211200427,0.0,0.0,,,,,"0.497
(Ref.)",Reference baseline,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,1hour,1h,LGBM|Spatial_CV|1hour,1,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.634303139850382,0.587487026652078,0.04681611319830403,4.681611319830403,0.1322926136526477,,58.0,0.0716504706336272,"0.634
(+4.7)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,24hour,24h,LGBM|Spatial_CV|24hour,2,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.663433367655586,0.622076484387867,0.041356883267719025,4.135688326771902,0.17075257796984297,,58.0,0.08421731455315809,"0.663
(+4.1)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,7day,7d,LGBM|Spatial_CV|7day,3,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.708958899090775,0.628428860242557,0.08053003884821808,8.053003884821807,0.08200400126869217,,58.0,0.24212078003572063,"0.709
(+8.1)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,31day,31d,LGBM|Spatial_CV|31day,4,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.637956527909188,0.605974158873733,0.03198236903545504,3.198236903545504,0.11387175431829309,,58.0,0.42642201952044184,"0.638
(+3.2)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,1hour,1h,LGBM|Temporal_CV|1hour,5,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.498165849615105,0.45236563577141,0.04580021384369504,4.580021384369504,9.354494691435545e-07,***,58.0,0.02029906948024867,"0.498
(+4.6***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,24hour,24h,LGBM|Temporal_CV|24hour,6,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.603863070684838,0.556441189243417,0.04742188144142101,4.742188144142101,1.5435119777466453e-08,***,58.0,0.06849408253838178,"0.604
(+4.7***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,7day,7d,LGBM|Temporal_CV|7day,7,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.694331002738955,0.601146971495914,0.09318403124304098,9.318403124304098,1.0,,58.0,-0.01114933153100907,"0.694
(+9.3)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,31day,31d,LGBM|Temporal_CV|31day,8,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.762863774331961,0.486028526144046,0.27683524818791494,27.683524818791494,3.486156338132772e-18,***,58.0,0.585312538579833,"0.763
(+27.7***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,1hour,1h,RF|Spatial_CV|1hour,9,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.646742099020077,0.584090243569223,0.06265185545085394,6.265185545085394,0.06153409461385439,,58.0,0.08172184520720063,"0.647
(+6.3)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,24hour,24h,RF|Spatial_CV|24hour,10,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.707586392215089,0.628579937458505,0.07900645475658397,7.900645475658397,0.07192559165930494,,58.0,0.13113581949645867,"0.708
(+7.9)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,7day,7d,RF|Spatial_CV|7day,11,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.705887677992411,0.613012163571905,0.09287551442050601,9.287551442050601,0.04063949355476886,*,58.0,0.31928179101072623,"0.706
(+9.3*)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,31day,31d,RF|Spatial_CV|31day,12,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.701421978295169,0.589943134074972,0.11147884422019694,11.147884422019693,0.07102253406617087,,58.0,0.5217070855367063,"0.701
(+11.1)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,1hour,1h,RF|Temporal_CV|1hour,13,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.47445737057612,0.354619142306792,0.119838228269328,11.9838228269328,4.208031552750066e-11,***,58.0,0.12592558763871736,"0.474
(+12.0***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,24hour,24h,RF|Temporal_CV|24hour,14,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.573167776675914,0.485373822898521,0.08779395377739302,8.779395377739302,6.050315753156356e-08,***,58.0,0.09848458599316116,"0.573
(+8.8***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,7day,7d,RF|Temporal_CV|7day,15,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.661074446093094,0.524647610855134,0.13642683523795995,13.642683523795995,2.411009510535403e-20,***,58.0,0.20175254433748185,"0.661
(+13.6***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Temporal_CV,Temporal CV,31day,31d,RF|Temporal_CV|31day,16,Baseline+Buffer,Buffer,2,Baseline+Meteorology,No,0.718883456526193,0.497335211200427,0.221548245325766,22.1548245325766,1.6029074722863943e-17,***,58.0,0.37312608623328336,"0.719
(+22.2***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,1hour,1h,LGBM|Spatial_CV|1hour,1,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.573845650471733,0.587487026652078,-0.013641376180345,-1.3641376180345,1.0,,58.0,-0.012448181177549476,"0.574
(-1.4)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,24hour,24h,LGBM|Spatial_CV|24hour,2,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.601557616429431,0.622076484387867,-0.02051886795843605,-2.051886795843605,0.35946275603694383,,58.0,0.027511435618787168,"0.602
(-2.1)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,7day,7d,LGBM|Spatial_CV|7day,3,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.672914617044757,0.628428860242557,0.044485756802200016,4.448575680220001,0.17381080593030762,,58.0,0.18607762018850169,"0.673
(+4.4)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Spatial_CV,Spatial CV,31day,31d,LGBM|Spatial_CV|31day,4,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.635394021137523,0.605974158873733,0.02941986226379001,2.941986226379001,0.21309830174585775,,58.0,0.33005894529095775,"0.635
(+2.9)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,1hour,1h,LGBM|Temporal_CV|1hour,5,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.508218666796603,0.45236563577141,0.05585303102519301,5.585303102519301,1.0,,58.0,-0.009744534517315913,"0.508
(+5.6)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,24hour,24h,LGBM|Temporal_CV|24hour,6,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.594129225999702,0.556441189243417,0.03768803675628496,3.768803675628496,0.000138877824949123,***,58.0,0.0646823492421034,"0.594
(+3.8***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,7day,7d,LGBM|Temporal_CV|7day,7,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.688287691757245,0.601146971495914,0.08714072026133102,8.714072026133103,0.04226807238738813,*,58.0,0.05673328068540679,"0.688
(+8.7*)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,LGBM,LightGBM,Temporal_CV,Temporal CV,31day,31d,LGBM|Temporal_CV|31day,8,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.762434241872567,0.486028526144046,0.276405715728521,27.640571572852103,1.1820528001193e-17,***,58.0,0.521465648537637,"0.762
(+27.6***)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,1hour,1h,RF|Spatial_CV|1hour,9,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.620533809192004,0.584090243569223,0.03644356562278095,3.644356562278095,0.08727022701949771,,58.0,0.06392675725364275,"0.621
(+3.6)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,24hour,24h,RF|Spatial_CV|24hour,10,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.671653632294827,0.628579937458505,0.04307369483632195,4.307369483632195,0.09565614975960962,,58.0,0.0964103617623555,"0.672
(+4.3)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,7day,7d,RF|Spatial_CV|7day,11,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.709364259601501,0.613012163571905,0.09635209602959594,9.635209602959593,0.023178447894611362,*,58.0,0.3271940136680099,"0.709
(+9.6*)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
a,Absolute R2 and marginal contribution of multi-source feature domains.,RF,Random Forest,Spatial_CV,Spatial CV,31day,31d,RF|Spatial_CV|31day,12,Baseline+Aggregated,Aggregated,3,Baseline+Meteorology,No,0.710209876696655,0.589943134074972,0.12026674262168302,12.026674262168303,0.1134366771459311,,58.0,0.4353195898363173,"0.710
(+12.0)",One-tailed paired t-test across monitoring stations,Delta_R2 is feature-domain model R2 minus baseline R2. Delta_R2_Percent is shown in percentage points.
